iter	Passed	Remaining
0	47	9466
1	86	8534
2	128	8431
3	167	8217
4	194	7573
5	224	7266
6	258	7127
7	288	6919
8	324	6889
9	353	6719
10	379	6513
11	403	6325
12	428	6158
13	448	5957
14	471	5810
15	496	5711
16	521	5609
17	547	5537
18	579	5520
19	607	5464
20	625	5335
21	634	5133
22	642	4946
23	659	4838
24	670	4696
25	696	4657
26	722	4626
27	736	4522
28	745	4395
29	769	4362
30	800	4362
31	825	4334
32	833	4217
33	858	4193
34	886	4180
35	915	4171
36	957	4217
37	990	4221
38	1017	4201
39	1044	4178
40	1074	4165
41	1098	4132
42	1125	4110
43	1149	4076
44	1176	4053
45	1206	4039
46	1233	4015
47	1245	3945
48	1271	3918
49	1279	3839
50	1305	3814
51	1332	3791
52	1357	3765
53	1367	3697
54	1391	3667
55	1419	3649
56	1444	3624
57	1455	3563
58	1484	3547
59	1498	3497
60	1523	3471
61	1534	3415
62	1566	3407
63	1592	3383
64	1599	3322
65	1626	3302
66	1653	3282
67	1679	3260
68	1707	3241
69	1722	3199
70	1750	3180
71	1761	3132
72	1788	3111
73	1814	3089
74	1843	3072
75	1874	3058
76	1901	3037
77	1929	3017
78	1956	2995
79	1987	2980
80	2011	2955
81	2041	2937
82	2067	2913
83	2094	2892
84	2106	2849
85	2134	2828
86	2162	2808
87	2191	2789
88	2215	2762
89	2240	2738
90	2251	2696
91	2281	2678
92	2308	2655
93	2336	2634
94	2364	2613
95	2392	2592
96	2421	2571
97	2447	2547
98	2478	2528
99	2491	2491
100	2519	2469
101	2538	2438
102	2566	2416
103	2574	2376
104	2593	2346
105	2619	2322
106	2643	2297
107	2676	2279
108	2700	2254
109	2725	2229
110	2733	2191
111	2762	2170
112	2790	2148
113	2819	2127
114	2843	2101
115	2855	2067
116	2879	2042
117	2903	2017
118	2920	1987
119	2928	1952
120	2945	1923
121	2972	1900
122	2998	1877
123	3031	1858
124	3061	1836
125	3087	1813
126	3097	1780
127	3172	1784
128	3192	1757
129	3227	1738
130	3286	1731
131	3320	1710
132	3349	1687
133	3376	1663
134	3401	1637
135	3432	1615
136	3461	1591
137	3486	1566
138	3495	1533
139	3523	1510
140	3549	1485
141	3578	1461
142	3603	1436
143	3632	1412
144	3662	1389
145	3686	1363
146	3694	1332
147	3707	1302
148	3733	1277
149	3763	1254
150	3777	1225
151	3789	1196
152	3815	1172
153	3844	1148
154	3868	1123
155	3892	1097
156	3921	1073
157	3946	1049
158	3969	1023
159	3998	999
160	4026	975
161	4058	952
162	4085	927
163	4114	903
164	4143	878
165	4157	851
166	4186	827
167	4216	803
168	4240	777
169	4276	754
170	4304	730
171	4334	705
172	4362	680
173	4393	656
174	4420	631
175	4443	605
176	4473	581
177	4499	556
178	4527	531
179	4557	506
180	4585	481
181	4616	456
182	4632	430
183	4643	403
184	4673	378
185	4698	353
186	4725	328
187	4753	303
188	4778	278
189	4804	252
190	4830	227
191	4860	202
192	4889	177
193	4917	152
194	4930	126
195	4947	100
196	4973	75
197	4997	50
198	5018	25
199	5044	0
