iter	Passed	Remaining
0	93	13884
1	160	11896
2	229	11229
3	295	10792
4	315	9146
5	406	9744
6	467	9544
7	539	9576
8	558	8745
9	669	9374
10	823	10404
11	1020	11734
12	1138	11993
13	1303	12661
14	1459	13135
15	1581	13241
16	1653	12934
17	1721	12621
18	1794	12371
19	1868	12142
20	1949	11977
21	1966	11443
22	2025	11183
23	2158	11334
24	2173	10866
25	2286	10902
26	2444	11136
27	2550	11114
28	2608	10883
29	2671	10684
30	2688	10322
31	2696	9944
32	2747	9741
33	2807	9577
34	2816	9254
35	2832	8968
36	2888	8820
37	2938	8659
38	2947	8389
39	3003	8259
40	3056	8126
41	3066	7884
42	3121	7766
43	3130	7542
44	3163	7382
45	3219	7279
46	3273	7173
47	3327	7071
48	3380	6967
49	3392	6784
50	3399	6599
51	3451	6504
52	3459	6331
53	3517	6253
54	3569	6166
55	3593	6032
56	3607	5885
57	3660	5805
58	3717	5733
59	3773	5660
60	3827	5584
61	3888	5519
62	3947	5450
63	3957	5317
64	3977	5201
65	4034	5135
66	4092	5069
67	4125	4974
68	4176	4902
69	4190	4788
70	4247	4726
71	4254	4608
72	4311	4547
73	4364	4482
74	4423	4423
75	4477	4359
76	4485	4252
77	4537	4188
78	4542	4082
79	4597	4022
80	4647	3958
81	4699	3896
82	4748	3833
83	4801	3772
84	4851	3709
85	4904	3649
86	4961	3593
87	5017	3534
88	5066	3472
89	5086	3390
90	5136	3330
91	5144	3243
92	5197	3185
93	5246	3125
94	5299	3068
95	5348	3008
96	5400	2950
97	5448	2891
98	5499	2833
99	5549	2774
100	5601	2717
101	5652	2659
102	5709	2605
103	5762	2548
104	5813	2491
105	5821	2416
106	5827	2341
107	5878	2286
108	5932	2231
109	5982	2175
110	6033	2120
111	6087	2065
112	6139	2010
113	6145	1940
114	6150	1871
115	6158	1805
116	6212	1752
117	6264	1698
118	6273	1634
119	6326	1581
120	6381	1529
121	6393	1467
122	6443	1414
123	6498	1362
124	6508	1301
125	6558	1249
126	6563	1188
127	6619	1137
128	6632	1079
129	6649	1023
130	6655	965
131	6661	908
132	6671	852
133	6722	802
134	6781	753
135	6788	698
136	6804	645
137	6855	596
138	6863	543
139	6920	494
140	6975	445
141	7030	396
142	7048	345
143	7105	296
144	7161	246
145	7216	197
146	7236	147
147	7240	97
148	7252	48
149	7312	0
